identifier	precision	rs_classification	probas
EFO:1001316	high	01-disease-subtype	[0.9998393340043714, 0.00016057461331786668, 9.138231062629726e-08]
EFO:1001317	medium	02-disease-root	[0.0005242267435223463, 0.999468398165771, 7.375090706592821e-06]
EFO:1001318	medium	02-disease-root	[9.70480340923115e-05, 0.9997430429746089, 0.000159908991298759]
EFO:1001319	medium	02-disease-root	[0.00021008044161119468, 0.999431019273081, 0.0003589002853078191]
EFO:1001320	medium	02-disease-root	[0.0017865992264921942, 0.998212643494607, 7.572789006887905e-07]
EFO:1001321	medium	02-disease-root	[0.00011497131955433439, 0.9998808129689601, 4.215711485448182e-06]
EFO:1001322	high	01-disease-subtype	[0.9983943840743827, 0.0014017280951861546, 0.00020388783043106656]
EFO:1001323	medium	02-disease-root	[4.812853387757119e-05, 0.9998946445242892, 5.722694183328064e-05]
EFO:1001324	medium	02-disease-root	[0.0003302772500228136, 0.9996666154846321, 3.107265345216614e-06]
EFO:1001325	high	01-disease-subtype	[0.9993684332556008, 0.0006315047717846382, 6.197261458940046e-08]
EFO:1001326	medium	02-disease-root	[7.139668995242088e-06, 0.9999193837015579, 7.347662944700053e-05]
EFO:1001327	medium	02-disease-root	[1.8741889131551827e-05, 0.9999694003423851, 1.1857768483241264e-05]
EFO:1001328	medium		[1.4544370876126558e-05, 0.9999716064496754, 1.3849179448370254e-05]
EFO:1001329	medium	02-disease-root	[0.0013810688391102488, 0.9985944092749268, 2.452188596286483e-05]
EFO:1001330	high	01-disease-subtype	[0.9992871645324127, 0.0007007056118660331, 1.2129855721133444e-05]
EFO:1001331	low	03-disease-area	[4.552896520218204e-06, 0.0003059315398395008, 0.9996895155636404]
EFO:1001332	medium	02-disease-root	[6.320716992791883e-05, 0.9999307817478242, 6.0110822478212395e-06]
EFO:1001333	high	01-disease-subtype	[0.9995702661410305, 0.00042973365895872576, 2.0001090943727e-10]
EFO:1001335	medium	02-disease-root	[0.001424073917765942, 0.9985499644447264, 2.596163750772228e-05]
EFO:1001336	medium	02-disease-root	[0.000722438316875899, 0.9991338430575737, 0.00014371862555027977]
EFO:1001337	medium	02-disease-root	[0.0006063263360686395, 0.9993880952380343, 5.578425896984169e-06]
EFO:1001339	low	03-disease-area	[1.9037961322211707e-07, 1.5201338904851169e-05, 0.999984608281482]
EFO:1001341	medium	02-disease-root	[0.00175728824171191, 0.9982426644981587, 4.726012933268959e-08]
EFO:1001342	low	03-disease-area	[2.2764257517122724e-06, 0.0013000706125775386, 0.9986976529616708]
EFO:1001343	high	01-disease-subtype	[0.9991428515015842, 0.0008524556534038769, 4.69284501198005e-06]
EFO:1001344	medium	02-disease-root	[0.00047346210531232626, 0.9995245027288396, 2.035165848143716e-06]
EFO:1001345	medium	02-disease-root	[0.0028135920954911317, 0.9971654664140042, 2.0941490504603973e-05]
EFO:1001346	medium	02-disease-root	[0.0004478084680155174, 0.9995516663158285, 5.252161559742966e-07]
EFO:1001347	high	01-disease-subtype	[0.9983936133033064, 0.001606227553196791, 1.5914349664044189e-07]
EFO:1001348	high	01-disease-subtype	[0.9990198442194443, 0.0009790211527185007, 1.1346278370746138e-06]
EFO:1001349	high	01-disease-subtype	[0.9962665110444892, 0.003716990837220214, 1.6498118290647866e-05]
EFO:1001350	medium	02-disease-root	[0.002146882117449506, 0.9978486665258776, 4.451356672821138e-06]
EFO:1001351	high	01-disease-subtype	[0.9981761165612354, 0.0018088533322212562, 1.503010654322971e-05]
EFO:1001352	medium	02-disease-root	[8.019453187304422e-05, 0.9999151321021633, 4.673365963587857e-06]
EFO:1001353	medium	02-disease-root	[6.134424649828916e-05, 0.999699269237703, 0.00023938651579864727]
EFO:1001354	high	01-disease-subtype	[0.998314426460848, 0.0016855089049529974, 6.463419899487267e-08]
EFO:1001355	high	01-disease-subtype	[0.9972770360950475, 0.0026915492345675938, 3.141467038508095e-05]
EFO:1001356	medium	02-disease-root	[7.751151022511372e-06, 0.9999734718988289, 1.8776950148770366e-05]
EFO:1001357	low	03-disease-area	[1.1531586460719194e-06, 0.0010985743161554236, 0.9989002725251986]
EFO:1001358	high	01-disease-subtype	[0.9998310152300683, 0.00016894485509885856, 3.991483289616306e-08]
EFO:1001359	medium	02-disease-root	[0.0002968280277671491, 0.9996996197688206, 3.552203412226429e-06]
EFO:1001360	medium	02-disease-root	[0.0012945667200180023, 0.9987049073208683, 5.259591136807527e-07]
EFO:1001361	high	01-disease-subtype	[0.9995101730569169, 0.0004897262460212022, 1.0069706184334645e-07]
EFO:1001362	high	01-disease-subtype	[0.9983383671710698, 0.0016605755402789235, 1.0572886511459313e-06]
EFO:1001363	high	01-disease-subtype	[0.9996978415551822, 0.00022491218069777675, 7.724626412022455e-05]
EFO:1001365	high	01-disease-subtype	[0.9986266098204825, 0.001370296393331621, 3.093786185907771e-06]
EFO:1001367	medium	02-disease-root	[0.0006098043923321198, 0.9993720473158588, 1.814829180914397e-05]
EFO:1001368	medium	02-disease-root	[0.0002984844850072138, 0.999078862233181, 0.00062265328181165]
EFO:1001369	medium	02-disease-root	[9.25726413565231e-05, 0.9998687248865963, 3.870247204715821e-05]
EFO:1001371	high	01-disease-subtype	[0.9987530085217091, 0.0012467247874012298, 2.666908897081215e-07]
EFO:1001372	medium	02-disease-root	[0.0007043620015055889, 0.9992918670624951, 3.77093599933131e-06]
EFO:1001373	medium		[0.001325484936704801, 0.9500120539743847, 0.04866246108891057]
EFO:1001374	medium	02-disease-root	[8.843175696609289e-07, 0.9995814515825683, 0.0004176640998622391]
EFO:1001375	high	01-disease-subtype	[0.9984010287101828, 0.0015920788479410362, 6.89244187596734e-06]
EFO:1001376	high	01-disease-subtype	[0.9990650029336658, 0.0009299344903250319, 5.0625760090371874e-06]
EFO:1001377	medium	02-disease-root	[7.765378596069812e-07, 0.9999271225557931, 7.210090634737148e-05]
EFO:1001378	medium	02-disease-root	[0.0006979522303343425, 0.9992837833112714, 1.826445839429625e-05]
EFO:1001379	medium	02-disease-root	[1.3693754077263642e-05, 0.9999788017257434, 7.504520179414499e-06]
EFO:1001380	high	01-disease-subtype	[0.9985754874317949, 0.0012507780450566198, 0.0001737345231482945]
EFO:1001381	medium	02-disease-root	[0.0010112835735465175, 0.9989872182662095, 1.4981602440359103e-06]
EFO:1001382	medium	02-disease-root	[0.0006192649323556403, 0.9993793101198675, 1.4249477769988143e-06]
EFO:1001383	medium	02-disease-root	[0.001343967809070045, 0.9986516930851779, 4.339105752036285e-06]
EFO:1001384	high	01-disease-subtype	[0.9977419666825641, 0.0020197060418722956, 0.0002383272755635898]
EFO:1001385	high	01-disease-subtype	[0.9985244160339188, 0.001472084045020451, 3.4999210607358106e-06]
EFO:1001386	medium	02-disease-root	[0.00039289728868026634, 0.9990699707183753, 0.000537131992944352]
EFO:1001387	medium	02-disease-root	[0.0016413264850120854, 0.9983492777507279, 9.395764259976667e-06]
EFO:1001388	medium	02-disease-root	[1.90717937937621e-06, 0.9995255170253542, 0.000472575795266318]
EFO:1001389	medium	02-disease-root	[0.001040123038301327, 0.9989424401603885, 1.743680131007873e-05]
EFO:1001390	medium	02-disease-root	[3.852059817779935e-05, 0.999805433443937, 0.00015604595788521486]
EFO:1001391	high	01-disease-subtype	[0.9994906424301112, 0.0004981036176372298, 1.125395225169617e-05]
EFO:1001392	medium	02-disease-root	[5.4464921747916796e-05, 0.9998277608299163, 0.00011777424833577034]
EFO:1001393	medium	02-disease-root	[0.0003706937137428188, 0.9993890714224141, 0.00024023486384299803]
EFO:1001394	medium	02-disease-root	[0.0008338979308680214, 0.9991650060945798, 1.095974552165953e-06]
EFO:1001395	medium	02-disease-root	[0.001113449448328975, 0.9988701980909028, 1.63524607680266e-05]
EFO:1001396	medium	02-disease-root	[0.0011414239925237033, 0.9988387827622282, 1.979324524795334e-05]
EFO:1001397	medium	02-disease-root	[0.0008817168584641629, 0.9991146918261196, 3.5913154161629626e-06]
EFO:1001398	medium	02-disease-root	[0.000520723692766302, 0.9994657202153605, 1.3556091873159507e-05]
EFO:1001399	high	01-disease-subtype	[0.9997037108645973, 0.00029461754064925513, 1.6715947536104775e-06]
EFO:1001400	high	01-disease-subtype	[0.9980969587144293, 0.0019016735867483881, 1.3676988224019612e-06]
EFO:1001401	medium	02-disease-root	[0.0005021528067310939, 0.9987745195347766, 0.0007233276584923147]
EFO:1001402	high	01-disease-subtype	[0.99982171863807, 0.0001782761067522946, 5.2551777154017326e-09]
EFO:1001403	high	01-disease-subtype	[0.9995322405091006, 0.0004676763956979477, 8.309520150310616e-08]
EFO:1001404	medium	02-disease-root	[0.0012100198763311378, 0.9987885568123254, 1.4233113434693657e-06]
EFO:1001406	medium	02-disease-root	[0.0002259507196608382, 0.9994470155201755, 0.0003270337601635581]
EFO:1001407	high	01-disease-subtype	[0.9987011794746731, 0.0012964859253293993, 2.3345999975454083e-06]
EFO:1001408	high	01-disease-subtype	[0.9975835675933076, 0.0023800992617094667, 3.6333144982856896e-05]
EFO:1001409	high	01-disease-subtype	[0.9994242520842567, 0.0005757454332379077, 2.482505463030455e-09]
EFO:1001410	medium	02-disease-root	[0.0011014528236686428, 0.9988953620825344, 3.185093796904077e-06]
EFO:1001411	medium	02-disease-root	[0.002834846692534697, 0.9971646214744119, 5.318330534413269e-07]
EFO:1001413	high	01-disease-subtype	[0.9990849867989569, 0.0009067619006039576, 8.2513004391821e-06]
EFO:1001414	medium	02-disease-root	[0.00045127829051421875, 0.9995373730944266, 1.1348615059247496e-05]
EFO:1001415	high	01-disease-subtype	[0.9981932589655189, 0.0018049802275635714, 1.7608069177042947e-06]
EFO:1001417	high	01-disease-subtype	[0.9995893665477787, 0.00041051927913302543, 1.1417308815877912e-07]
EFO:1001418	medium	02-disease-root	[4.2650255537436555e-05, 0.9999056274120391, 5.172233242325258e-05]
EFO:1001419	medium	02-disease-root	[3.541420251181013e-05, 0.9998461388270579, 0.00011844697043047283]
EFO:1001420	medium	02-disease-root	[0.00023586002650403015, 0.9996547919109562, 0.00010934806253988447]
EFO:1001421	medium	02-disease-root	[2.308837024658514e-06, 0.9999296179521172, 6.807321085820166e-05]
EFO:1001422	high	01-disease-subtype	[0.9990339186244416, 0.0009660577026499131, 2.3672908480531744e-08]
EFO:1001423	medium	02-disease-root	[0.00019477580675990444, 0.9998050481919587, 1.76001281472521e-07]
EFO:1001424	high	01-disease-subtype	[0.9994442652595812, 0.0005553687123293514, 3.660280894211596e-07]
EFO:1001425	medium	02-disease-root	[0.0011603921602150384, 0.99867902329202, 0.0001605845477649713]
EFO:1001426	high	01-disease-subtype	[0.9993927702770006, 0.0005944349226124145, 1.2794800386908367e-05]
EFO:1001428	medium	02-disease-root	[2.0628488781208504e-05, 0.9999782202917137, 1.1512195049614615e-06]
EFO:1001429	medium	02-disease-root	[0.0006919775084485298, 0.998113417523591, 0.001194604967960539]
EFO:1001430	medium	02-disease-root	[0.0005714850707066281, 0.9975246185348977, 0.0019038963943957563]
EFO:1001431	medium	02-disease-root	[0.0007030675489778541, 0.9992934607166447, 3.471734377406204e-06]
EFO:1001432	high	01-disease-subtype	[0.9981451557112463, 0.0018501969151624614, 4.647373591283526e-06]
EFO:1001433	high	01-disease-subtype	[0.9993831191289142, 0.0006167471348523351, 1.3373623368210308e-07]
EFO:1001434	medium	02-disease-root	[3.3818530013412156e-06, 0.9981739378463256, 0.00182268030067309]
EFO:1001435	high	01-disease-subtype	[0.9987272099999517, 0.0012695402014936308, 3.2497985545495023e-06]
EFO:1001436	medium	02-disease-root	[2.286233310918237e-05, 0.9996657626772555, 0.00031137498963515687]
EFO:1001437	low	03-disease-area	[3.5403049328800095e-06, 0.0004011453943376358, 0.9995953143007293]
EFO:1001438	medium	02-disease-root	[4.402840279802954e-05, 0.9998815098548562, 7.446174234573803e-05]
EFO:1001442	high	01-disease-subtype	[0.9989908382845555, 0.0009054884207538355, 0.00010367329469060531]
EFO:1001443	medium	02-disease-root	[0.0018232484892452465, 0.9980659463080174, 0.00011080520273747958]
EFO:1001444	medium	02-disease-root	[0.0008668917110272444, 0.9991329922350818, 1.160538910577015e-07]
EFO:1001445	medium	02-disease-root	[0.001374276112716896, 0.9986255939140395, 1.2997324356789134e-07]
EFO:1001446	medium	02-disease-root	[0.0009395914988030648, 0.9990501221742515, 1.0286326945547332e-05]
EFO:1001447	low	03-disease-area	[7.571568206756788e-06, 1.291956118145397e-05, 0.9999795088706118]
EFO:1001448	medium	02-disease-root	[0.0003115795852727301, 0.9996816148073128, 6.805607414450698e-06]
EFO:1001449	medium	02-disease-root	[0.0012248384965781109, 0.9987666352376352, 8.526265786869653e-06]
EFO:1001450	medium	02-disease-root	[0.0009840985302526466, 0.9990157957927126, 1.0567703462039502e-07]
EFO:1001451	high	01-disease-subtype	[0.9997359832633407, 0.0002622485300267656, 1.768206632688708e-06]
EFO:1001452	high	01-disease-subtype	[0.9973050222207482, 0.0026945961331106957, 3.816461408609307e-07]
EFO:1001453	high	01-disease-subtype	[0.9995206983680848, 0.000479259410656537, 4.2221258656413504e-08]
EFO:1001454	medium	02-disease-root	[0.0004919624393988375, 0.9994954823866877, 1.2555173913400062e-05]
EFO:1001455	low	03-disease-area	[6.881555498372096e-10, 3.6284108306470547e-08, 0.9999999630277361]
EFO:1001456	low	03-disease-area	[9.354046539597415e-07, 3.170400099993691e-05, 0.9999673605943462]
EFO:1001458	high	01-disease-subtype	[0.9994125921248953, 0.0005840594941647232, 3.3483809399090036e-06]
EFO:1001459	medium	02-disease-root	[0.0013839064521175225, 0.9984194893633187, 0.00019660418456376284]
EFO:1001460	medium	02-disease-root	[2.166079208476466e-05, 0.999610154200883, 0.0003681850070324087]
EFO:1001461	medium	02-disease-root	[1.2223440093675854e-05, 0.9997987953975962, 0.00018898116231004665]
EFO:1001462	high	01-disease-subtype	[0.9998370768497458, 0.00016291491065104503, 8.239603342578759e-09]
EFO:1001463	low	03-disease-area	[1.0161344285981802e-05, 0.00041094626183011367, 0.9995788923938839]
EFO:1001465	high	01-disease-subtype	[0.9989950328077128, 0.0010047998677276179, 1.6732455954055466e-07]
EFO:1001466	high	01-disease-subtype	[0.9992151213047265, 0.0007654218445149979, 1.9456850758508877e-05]
EFO:1001467	high	01-disease-subtype	[0.998801226848191, 0.001130690979751706, 6.808217205742627e-05]
EFO:1001469	medium	02-disease-root	[0.002214285065333414, 0.9977837308817621, 1.9840529045434373e-06]
EFO:1001471	medium	02-disease-root	[8.765462647619244e-05, 0.9999048552998411, 7.490073682840479e-06]
EFO:1001472	medium	02-disease-root	[0.0005312616264542888, 0.9984534830503227, 0.001015255323223178]
EFO:1001473	medium	02-disease-root	[0.001634295719048651, 0.9977738679792534, 0.0005918363016981245]
EFO:1001474	high	01-disease-subtype	[0.9983021099164746, 0.0016978770231653494, 1.3060360103101727e-08]
EFO:1001475	medium	02-disease-root	[0.00035633101226243454, 0.9996165100413477, 2.715894639006924e-05]
EFO:1001476	medium	02-disease-root	[9.516589251023689e-05, 0.9986101586275405, 0.0012946754799491444]
EFO:1001477	medium	02-disease-root	[0.0006803698381535732, 0.9992974045016199, 2.2225660226569157e-05]
EFO:1001479	medium	02-disease-root	[0.00026028775104555685, 0.9993779051187125, 0.00036180713024192766]
EFO:1001480	high	01-disease-subtype	[0.9998584487669915, 0.00014154315769889368, 8.075309644669175e-09]
EFO:1001481	medium	02-disease-root	[0.00031364448370574334, 0.9984554231458443, 0.0012309323704499584]
EFO:1001482	high	01-disease-subtype	[0.9994460082377432, 0.00047082464448327746, 8.316711777362019e-05]
EFO:1001483	high	01-disease-subtype	[0.9994020058048565, 0.0005921729439267245, 5.821251216902254e-06]
EFO:1001484	high	01-disease-subtype	[0.9983754718463982, 0.0015793728682266482, 4.515528537518946e-05]
EFO:1001485	medium	02-disease-root	[0.0014354027861514492, 0.9985643655336058, 2.316802427262059e-07]
EFO:1001486	medium	02-disease-root	[0.0008021057165719523, 0.9991978561444433, 3.8138984732043946e-08]
EFO:1001487	high	01-disease-subtype	[0.9995676735037891, 0.0004323129120521133, 1.3584158895155665e-08]
EFO:1001488	high	01-disease-subtype	[0.9999919698338201, 7.847443787914184e-06, 1.8272239207791343e-07]
EFO:1001489	high	01-disease-subtype	[0.9988490906907527, 0.0011508783430185857, 3.096622891844983e-08]
EFO:1001490	high	01-disease-subtype	[0.999679577204058, 0.0003204202271122154, 2.5688296800396306e-09]
EFO:1001491	low	03-disease-area	[2.8579885839943596e-05, 0.001125638225507528, 0.9988457818886526]
EFO:1001492	high	01-disease-subtype	[0.9998818121584536, 0.00011671566575915586, 1.4721757872057155e-06]
EFO:1001493	medium	02-disease-root	[0.0014370105224465028, 0.9983028804388299, 0.0002601090387236177]
EFO:1001494	high	01-disease-subtype	[0.9989843468072579, 0.001012071899897605, 3.58129284440129e-06]
EFO:1001495	medium	02-disease-root	[0.0012028731454905028, 0.9987213057546278, 7.582109988180089e-05]
EFO:1001496	high	01-disease-subtype	[0.9981060862205924, 0.0016013183212191411, 0.0002925954581885892]
EFO:1001497	high	01-disease-subtype	[0.998069753424637, 0.0019246950803573455, 5.5514950056674684e-06]
EFO:1001498	medium	02-disease-root	[0.0011707575831455173, 0.9988284670635506, 7.753533040678294e-07]
EFO:1001499	medium	02-disease-root	[0.0007882078358067256, 0.9991735197350012, 3.8272429191896055e-05]
EFO:1001500	medium		[0.3168017381977857, 0.6831697391312036, 2.852267101059882e-05]
EFO:1001501	high	01-disease-subtype	[0.999977506193679, 2.2452808084014936e-05, 4.099823686449472e-08]
EFO:1001502	low	03-disease-area	[1.87020619675775e-07, 5.151067098680976e-05, 0.9999483023083935]
EFO:1001503	high	01-disease-subtype	[0.9993713017180295, 0.0006224335363652295, 6.264745605346365e-06]
EFO:1001504	high	01-disease-subtype	[0.9994017265429226, 0.0005918571360636971, 6.4163210136760185e-06]
EFO:1001505	medium	02-disease-root	[0.0001374273539884897, 0.9995598979325067, 0.0003026747135047034]
EFO:1001506	high	01-disease-subtype	[0.9987404376166461, 0.001258602299835222, 9.600835185672538e-07]
EFO:1001507	high	01-disease-subtype	[0.9984561614990579, 0.0015404565727744333, 3.381928167733748e-06]
EFO:1001510	medium	02-disease-root	[4.0015942973031706e-05, 0.9999172317383443, 4.2752318682685506e-05]
EFO:1001511	high	01-disease-subtype	[0.9970756605135799, 6.72584122449587e-05, 0.0028570810741752346]
EFO:1001512	high	01-disease-subtype	[0.9995598702856029, 0.0002171245017810674, 0.00022300521261597962]
EFO:1001513	low	03-disease-area	[1.1917128206582463e-06, 0.001357502116146275, 0.9986413061710331]
EFO:1001514	high	01-disease-subtype	[0.9999984527999115, 1.5462128620979547e-06, 9.872263237800376e-10]
EFO:1001515	high	01-disease-subtype	[0.99949258501866, 0.0005046382856956654, 2.7766956441794193e-06]
EFO:1001516	high	01-disease-subtype	[0.999873665148747, 0.0001263202397356823, 1.4611517434376156e-08]
EFO:1001517	high	01-disease-subtype	[0.9991312157768134, 0.0008634373641741429, 5.346859012533334e-06]
EFO:1001518	low		[1.4987347965972399e-05, 0.006449516266881477, 0.9935354963851525]
EFO:1001753	medium	02-disease-root	[3.463852473949615e-05, 0.9999577410219124, 7.620453348185984e-06]
EFO:1001754	medium	02-disease-root	[0.0009935310069509298, 0.9990062686526254, 2.0034042350720463e-07]
EFO:1001755	high	01-disease-subtype	[0.9999891493730348, 1.0849731627738465e-05, 8.953374518323887e-10]
EFO:1001756	medium		[0.0009036861831763362, 0.9990900695326762, 6.244284147439413e-06]
EFO:1001757	medium	02-disease-root	[0.0024768370281049532, 0.9975231046702799, 5.830161494721141e-08]
EFO:1001759	high	01-disease-subtype	[0.9995035213108159, 0.0004960157552946424, 4.6293388937265665e-07]
EFO:1001760	medium	02-disease-root	[0.0007308792167041259, 0.9992691063829466, 1.4400349285753742e-08]
EFO:1001761	high	01-disease-subtype	[0.9992524816865439, 0.0007470335949324143, 4.847185238553088e-07]
EFO:1001762	medium	02-disease-root	[0.0009234786709652874, 0.9990456307829092, 3.089054612536932e-05]
EFO:1001763	low	03-disease-area	[6.608617703008477e-06, 0.0010283805148427706, 0.9989650108674543]
EFO:1001764	medium	02-disease-root	[2.7628406903538e-05, 0.9999235700579291, 4.880153516719741e-05]
EFO:1001767	low	03-disease-area	[2.4733493333228053e-06, 0.0006545743443656235, 0.999342952306301]
EFO:1001768	medium		[0.0024370930745564244, 0.997525274332611, 3.7632592832761805e-05]
EFO:1001769	medium	02-disease-root	[0.0010198910921845467, 0.9989616151985683, 1.8493709247046443e-05]
EFO:1001770	high	01-disease-subtype	[0.9998875614436487, 0.00011243249438361475, 6.061967783556386e-09]
EFO:1001771	medium	02-disease-root	[0.0005087508640848262, 0.9994908516029328, 3.9753298244337935e-07]
EFO:1001772	high	01-disease-subtype	[0.9981090532168269, 0.0018557675211341937, 3.517926203880466e-05]
EFO:1001773	medium	02-disease-root	[0.0002445214748386324, 0.999754226956187, 1.2515689742831963e-06]
EFO:1001774	medium	02-disease-root	[0.00019098115959900806, 0.9997787125474447, 3.030629295629106e-05]
EFO:1001775	medium	02-disease-root	[2.7243751272532513e-05, 0.9999071278964833, 6.562835224424423e-05]
EFO:1001776	medium	02-disease-root	[0.00018724423036774307, 0.9998018848687324, 1.0870900899907506e-05]
EFO:1001777	medium	02-disease-root	[0.00012421366460528194, 0.9998744149677236, 1.371367671102226e-06]
EFO:1001778	medium	02-disease-root	[0.0003086083024765652, 0.9996892604324052, 2.1312651182242627e-06]
EFO:1001779	high	01-disease-subtype	[0.9999883394440487, 1.1660143143245072e-05, 4.1280798718183756e-10]
EFO:1001780	medium	02-disease-root	[7.393883353473135e-05, 0.9999089820163992, 1.7079150065915817e-05]
EFO:1001781	high	01-disease-subtype	[0.9984073712542022, 0.0015924051764353929, 2.2356936222159872e-07]
EFO:1001782	medium	02-disease-root	[0.0004441628589134194, 0.9995512088352204, 4.628305866277031e-06]
EFO:1001783	high	01-disease-subtype	[0.9972008372819119, 0.002798708191777989, 4.545263100369996e-07]
EFO:1001784	high	01-disease-subtype	[0.9999671003790692, 3.289728687144968e-05, 2.334059430928942e-09]
EFO:1001785	medium	02-disease-root	[0.001763950242792668, 0.9982342232658163, 1.8264913911089348e-06]
EFO:1001786	medium	02-disease-root	[0.0015006814698801621, 0.9984870888163296, 1.2229713790025705e-05]
EFO:1001788	medium		[0.27964050849376904, 0.7203400193383783, 1.947216785265654e-05]
EFO:1001789	high	01-disease-subtype	[0.9982690007015184, 0.0017309722802365125, 2.7018245204842216e-08]
EFO:1001790	medium	02-disease-root	[0.0019276852544868684, 0.9980684513442598, 3.863401253356069e-06]
EFO:1001791	medium	02-disease-root	[0.0002181705142254962, 0.9997801105312335, 1.7189545409904517e-06]
EFO:1001792	medium	02-disease-root	[0.0013546106833826014, 0.9986453541008491, 3.5215768194281923e-08]
EFO:1001794	medium	02-disease-root	[0.0011051461381117152, 0.9988946426038512, 2.112580372108633e-07]
EFO:1001795	medium	02-disease-root	[0.0015233304559539409, 0.9984765145267093, 1.550173366713133e-07]
EFO:1001796	medium	02-disease-root	[0.0002754092463167684, 0.9997172447987323, 7.345954950972647e-06]
EFO:1001797	high	01-disease-subtype	[0.9982631318637261, 0.0017367731690262989, 9.496724765893099e-08]
EFO:1001798	medium	02-disease-root	[0.0004133133851863243, 0.9995452438309314, 4.144278388221205e-05]
EFO:1001799	medium	02-disease-root	[0.0014682338129730404, 0.9985294574656083, 2.3087214188940932e-06]
EFO:1001800	medium	02-disease-root	[0.000500836214785905, 0.9994912955110591, 7.868274155071402e-06]
EFO:1001801	medium	02-disease-root	[0.0029207189578221685, 0.9970779369367179, 1.3441054600349449e-06]
EFO:1001802	high	01-disease-subtype	[0.9990129524731494, 0.0009835419413708221, 3.5055854797085603e-06]
EFO:1001803	medium	02-disease-root	[0.0002582378327670015, 0.9996366881989356, 0.00010507396829734128]
EFO:1001804	medium	02-disease-root	[0.00024949239332953466, 0.9997467981077861, 3.7094988843543253e-06]
EFO:1001805	high	01-disease-subtype	[0.9991633483578882, 0.0008365157956073569, 1.3584650449321152e-07]
EFO:1001806	high	01-disease-subtype	[0.998102445944139, 0.001893695149034539, 3.858906826566574e-06]
EFO:1001807	medium	02-disease-root	[0.0004224346038063523, 0.999464431754124, 0.00011313364206957793]
EFO:1001808	medium	02-disease-root	[0.00044214254703251984, 0.9995551548715516, 2.7025814160333393e-06]
EFO:1001809	medium	02-disease-root	[3.480600403582282e-05, 0.9999651502652657, 4.373069852593246e-08]
EFO:1001810	medium	02-disease-root	[0.0009202600627658525, 0.999079192807945, 5.471292892178864e-07]
EFO:1001811	high	01-disease-subtype	[0.9983165325167553, 0.0016834165031054966, 5.098013917638124e-08]
EFO:1001812	medium	02-disease-root	[0.00014211559154442125, 0.9997800822191855, 7.780218927008181e-05]
EFO:1001813	medium	02-disease-root	[1.6299951690227148e-05, 0.9994758223989935, 0.0005078776493162932]
EFO:1001814	medium	02-disease-root	[0.00018935308551451213, 0.9997066947722145, 0.00010395214227085093]
EFO:1001815	low	03-disease-area	[0.0003386473220908515, 0.0019293904763262397, 0.9977319622015829]
EFO:1001816	high	01-disease-subtype	[0.998391022623669, 0.0015912235771246457, 1.7753799206202083e-05]
EFO:1001817	medium	02-disease-root	[0.00032239478217201644, 0.999387179816787, 0.00029042540104112796]
EFO:1001818	medium	02-disease-root	[0.0005880001554682432, 0.9994119919715069, 7.873024787344214e-09]
EFO:1001819	high	01-disease-subtype	[0.9997908185908947, 0.00020316168156307013, 6.0197275420850534e-06]
EFO:1001820	medium	02-disease-root	[0.00028126713630428126, 0.9994277828197766, 0.0002909500439191947]
EFO:1001821	high	01-disease-subtype	[0.9981968203035935, 0.001781358982154933, 2.1820714251581353e-05]
EFO:1001822	high	01-disease-subtype	[0.9993851267681031, 0.0006147629268075089, 1.1030508938921955e-07]
EFO:1001823	medium	02-disease-root	[0.00021143104862635142, 0.9997828152936509, 5.753657722798954e-06]
EFO:1001824	high	01-disease-subtype	[0.9989499763045451, 0.0010499813409526836, 4.2354502370332715e-08]
EFO:1001825	medium	02-disease-root	[0.002866599736288764, 0.9969348729363573, 0.0001985273273538835]
EFO:1001826	medium	02-disease-root	[3.938447691390076e-05, 0.9999587109387797, 1.9045843062629997e-06]
EFO:1001827	medium	02-disease-root	[0.00042099275681040696, 0.9994691076598903, 0.00010989958329932107]
EFO:1001828	high	01-disease-subtype	[0.9986972945643252, 0.0012985322489666928, 4.173186708158974e-06]
EFO:1001829	medium	02-disease-root	[1.2592016052785668e-05, 0.9999824052147954, 5.002769151948985e-06]
EFO:1001830	high	01-disease-subtype	[0.9998641995823754, 0.00013579802135294753, 2.396271720008439e-09]
EFO:1001831	medium	02-disease-root	[6.0888758468949346e-05, 0.9999274475731847, 1.1663668346179234e-05]
EFO:1001832	high	01-disease-subtype	[0.9965905766652065, 0.00338991536018577, 1.9507974607724797e-05]
EFO:1001833	medium	02-disease-root	[0.00036035985724043005, 0.9996380831613797, 1.5569813796941088e-06]
EFO:1001834	high	01-disease-subtype	[0.9998573414370684, 0.00014260830757191598, 5.0255359823283805e-08]
EFO:1001835	high	01-disease-subtype	[0.9985214409670692, 0.0014725769941155513, 5.982038815384718e-06]
EFO:1001836	high	01-disease-subtype	[0.9989182665466648, 0.0010776111077329302, 4.1223456023557584e-06]
EFO:1001837	medium	02-disease-root	[0.0001839913446714106, 0.9998128609259936, 3.1477293348476143e-06]
EFO:1001838	medium	02-disease-root	[0.0008332253529940316, 0.9991646143225867, 2.160324419402394e-06]
EFO:1001839	medium	02-disease-root	[0.0011910639414721767, 0.9988035249305025, 5.411128025336325e-06]
EFO:1001840	medium	02-disease-root	[0.0005214958343167758, 0.9984416610899514, 0.0010368430757317188]
EFO:1001841	medium	02-disease-root	[0.00013299176237286165, 0.9998258867924491, 4.1121445178110055e-05]
