identifier	precision	rs_classification	probas
EFO:0000318	medium	02-disease-root	[0.00018915886117398147, 0.9977185153138727, 0.0020923258249532766]
EFO:0000319	low	03-disease-area	[9.476598595258961e-08, 0.00012155317481197377, 0.9998783520592021]
EFO:0000326	low	03-disease-area	[6.046876909232289e-05, 0.0004679823849194974, 0.9994715488459882]
EFO:0000330	high	01-disease-subtype	[0.9999862674807378, 1.2509889265061028e-05, 1.222629997214304e-06]
EFO:0000331	medium	02-disease-root	[0.002670528648928352, 0.9973293925912747, 7.875979682490392e-08]
EFO:0000332	medium	02-disease-root	[0.0022136605014033365, 0.9977862902240269, 4.9274569900110164e-08]
EFO:0000333	medium	02-disease-root	[3.3529509261074897e-05, 0.9994292344152892, 0.0005372360754497118]
EFO:0000335	medium	02-disease-root	[0.0023889074393948165, 0.9976110640514982, 2.8509106992153565e-08]
EFO:0000337	high	01-disease-subtype	[0.9938259515546635, 0.006138793589463881, 3.5254855872667834e-05]
EFO:0000339	high	01-disease-subtype	[0.9985935191014195, 0.0014063338469257442, 1.4705165478265537e-07]
EFO:0000341	medium	02-disease-root	[0.00030740554875380706, 0.9991030016506015, 0.0005895928006446941]
EFO:0000342	medium	02-disease-root	[0.00037719594669040883, 0.9986490630992385, 0.0009737409540711818]
EFO:0000348	low	03-disease-area	[5.309399875995483e-05, 0.001753161986944344, 0.9981937440142957]
EFO:0000349	high	01-disease-subtype	[0.9999499244124559, 5.0070924793511376e-05, 4.662750644804365e-09]
EFO:0000350	high	01-disease-subtype	[0.999388206150494, 0.0006117917064355358, 2.1430705030281083e-09]
EFO:0000364	high	01-disease-subtype	[0.9999636853006677, 3.4901502813305474e-05, 1.4131965191716235e-06]
EFO:0000365	medium	02-disease-root	[0.0013999492752466512, 0.9984922600256797, 0.00010779069907364878]
EFO:0000373	medium	02-disease-root	[0.0002792470037666222, 0.9994718225426733, 0.0002489304535600493]
EFO:0000384	medium	02-disease-root	[0.0010482111542535965, 0.9987486696869793, 0.00020311915876719024]
EFO:0000389	high	01-disease-subtype	[0.998176803859393, 0.0008475633541063174, 0.0009756327865006894]
EFO:0000394	high	01-disease-subtype	[0.9999939725983955, 6.005341711699459e-06, 2.2059892815157396e-08]
EFO:0000397	high	01-disease-subtype	[0.9990739751230912, 0.0009200566453744765, 5.968231534351924e-06]
EFO:0000398	medium	02-disease-root	[0.0030030844215997977, 0.9969932097714758, 3.70580692438643e-06]
EFO:0000400	medium	02-disease-root	[4.534604642703307e-05, 0.9967035412365913, 0.0032511127169816837]
EFO:0000401	medium	02-disease-root	[0.0008086319262098056, 0.9990386666758208, 0.00015270139796942528]
EFO:0000402	high	01-disease-subtype	[0.999865416652532, 0.00011723502337934666, 1.7348324088805933e-05]
EFO:0000403	medium	02-disease-root	[0.0006544258016623267, 0.9992679087906208, 7.766540771690658e-05]
EFO:0000404	high	01-disease-subtype	[0.9998736838602731, 0.0001263157611984629, 3.7852850538614605e-10]
EFO:0000407	high	01-disease-subtype	[0.9984198435813129, 0.0010773722535599712, 0.0005027841651272535]
EFO:0000432	high	01-disease-subtype	[0.9996581990027876, 0.00034121756947344144, 5.834277388238087e-07]
EFO:0000437	high	01-disease-subtype	[0.9997621085474447, 0.00023757124306988348, 3.2020948538589044e-07]
EFO:0000464	high	01-disease-subtype	[0.9987499106060058, 0.0011163419453368672, 0.00013374744865741423]
EFO:0000465	medium	02-disease-root	[0.0004925608840339613, 0.9994074611064957, 9.997800947038782e-05]
EFO:0000466	medium	02-disease-root	[0.0008193350894622482, 0.9977027785205305, 0.0014778863900073527]
EFO:0000474	medium	02-disease-root	[3.623721285101286e-05, 0.9980101977749922, 0.001953565012156623]
EFO:0000478	high	01-disease-subtype	[0.9992591641564976, 0.0007408237260021589, 1.2117500161144475e-08]
EFO:0000479	medium	02-disease-root	[0.001766149910637464, 0.9982338474035816, 2.6857811034978e-09]
EFO:0000489	medium	02-disease-root	[0.000880270068297085, 0.9981004343636981, 0.0010192955680048187]
EFO:0000495	medium	02-disease-root	[0.00046924347946108774, 0.9995296858469748, 1.0706735643894952e-06]
EFO:0000497	medium	02-disease-root	[0.0004634027460423971, 0.9993650740635391, 0.00017152319041838723]
EFO:0000499	high	01-disease-subtype	[0.9986318131670089, 0.0013246922789441123, 4.3494554046998256e-05]
EFO:0000500	medium	02-disease-root	[0.0013045600566864558, 0.9986939593005447, 1.4806427689659218e-06]
EFO:0000501	high	01-disease-subtype	[0.9987592400594364, 0.001235641680602716, 5.1182599609011586e-06]
EFO:0000502	medium	02-disease-root	[0.0012901847261660613, 0.9987042132075654, 5.602066268487623e-06]
EFO:0000503	high	01-disease-subtype	[0.9998038511321521, 0.0001948874508278734, 1.2614170199396595e-06]
EFO:0000504	high	01-disease-subtype	[0.9999965221565841, 3.352424211725221e-06, 1.254192043117956e-07]
EFO:0000508	low	03-disease-area	[4.1337714915772506e-06, 2.2851530492710173e-05, 0.9999730146980157]
EFO:0000512	low	03-disease-area	[1.6211940519271696e-08, 6.300880959822227e-08, 0.9999999207792499]
EFO:0000514	medium	02-disease-root	[0.0007464082350152547, 0.9958520775843338, 0.0034015141806509152]
EFO:0000519	medium	02-disease-root	[0.001188837284459782, 0.9988111027624833, 5.995305672452415e-08]
EFO:0000536	low	03-disease-area	[9.755708960416087e-07, 0.00026223009854458115, 0.9997367943305593]
EFO:0000537	medium	02-disease-root	[0.00040403544700602466, 0.9975141437304517, 0.0020818208225423726]
EFO:0000538	high	01-disease-subtype	[0.997703219880271, 0.000730142524894838, 0.00156663759483422]
EFO:0000540	low	03-disease-area	[6.87604341856018e-11, 2.9488745908822416e-07, 0.9999997050437806]
EFO:0000545	low	03-disease-area	[1.834797952178271e-05, 0.0003081528440463252, 0.9996734991764319]
EFO:0000546	low		[4.453547204323029e-07, 0.00013059803979414598, 0.9998689566054854]
EFO:0000549	high	01-disease-subtype	[0.9998519802478708, 0.00014774227036408753, 2.7748176511669855e-07]
